BE_07_31_00_00	Iekārtu, AR apakškonstrukcijas
BE_07_31_01_00	Iekārtu rāmji, apakškonstrukcijas 
BE_07_31_03_00	Citas apakškonstrukcijas 
BE_07_33_00_00	Stiprinājumi
BE_07_33_01_00	Mehāniski stiprinājumi
BE_07_33_03_00	Ķīmiski stiprinājumi
BE_07_33_05_00	Metināti stiprinājumi
BE_07_33_07_00	Iebetonējami stiprinājumi
BE_07_35_00_00	Šuves un to materiāli
BE_07_35_01_00	Deformācijas šuves un to materiāli
BE_07_35_03_00	Hidroizolācijas šuves un to materiāli
BE_07_35_05_00	Termoizolācijas šuves un to materiāli
BE_07_35_07_00	Skaņas izolācijas šuves un to materiāli
BE_07_35_09_00	Spriegumu izlīdzināšanas šuves un to materiāli
BE_07_35_11_00	Darba šuves un to materiāli
BE_07_37_00_00	Pagaidu konstrukcijas
BE_07_37_01_00	Pagaidu stutes
BE_07_37_03_00	Pagaidu atgāžņi
BE_07_37_05_00	Pagaidu rāmji
BE_09_00_00_00	Arhitektūras risinājumi (AR)
BE_09_01_00_00	Grīdas
BE_09_01_01_00	Grīdas uz grunts
BE_09_01_03_00	Grīdas uz pārseguma
BE_09_01_05_00	Paceltās grīdas
BE_09_01_07_00	Terašu, balkonu grīdas
BE_09_03_00_00	Griesti
BE_09_03_01_00	Griesti piekārtie
BE_09_03_03_00	Nostieptie griesti
BE_09_05_00_00	Jumti
BE_09_05_01_00	Jumta klājs
BE_09_05_03_00	Jumta pamatne
BE_09_05_05_00	Jumtu aprīkojums
BE_09_05_07_00	Uzjumteņi
BE_09_07_00_00	Ārsienas
BE_09_07_01_00	Karkasa ārsienas 
BE_09_07_03_00	Piekārtās ārsienas 
BE_09_07_05_00	Mūrētās ārsienas 
BE_09_07_07_00	Cokolsienas
BE_09_07_09_00	Pagrabstāva ārsienas
BE_09_09_00_00	Starpsienas
BE_09_09_01_00	Karkasa starpsienas
BE_09_09_03_00	Mūra starpsienas
BE_09_09_05_00	Stiklotās starpsienas
BE_09_11_00_00	Ailu aizpildījums
BE_09_11_01_00	Logi
BE_09_11_03_00	Durvis
BE_09_11_05_00	Lūkas
BE_09_11_07_00	Vārti
BE_09_13_00_00	Fasādes
BE_09_13_01_00	Karkasa fasādes
BE_09_13_03_00	Apmestās fasādes
BE_09_13_05_00	Piekārtās fasādes
BE_09_13_07_00	Mūrētās fasādes
BE_09_13_09_00	Stiklotās  fasādes sistēmas
BE_09_13_11_00	Fasāžu aprīkojums
BE_09_15_00_00	Margas
BE_09_15_01_00	Balkonu margas
BE_09_15_03_00	Jumta margas
BE_09_15_05_00	Kāpņu un pandusu margas
BE_09_15_07_00	Ātrija margas
BE_09_17_00_00	Aprīkojums
BE_09_17_01_00	Lieveņi
BE_09_17_03_00	Krāsnis, kamīni
BE_09_17_05_00	Cits aprīkojums
BE_11_00_00_00	Interjers (IN)
BE_11_01_00_00	Apdare
BE_11_01_01_00	Grīdas apdare
BE_11_01_03_00	Griestu apdare
BE_11_01_05_00	Sienu apdare
BE_11_01_07_00	Ailu apdare
BE_11_01_09_00	Līstes
BE_11_01_11_00	Citi apdares elementi
BE_11_03_00_00	Apdares aprīkojums
BE_11_03_01_00	Grīdas aprīkojums
BE_11_03_03_00	Griestu aprīkojums
BE_11_03_05_00	Sienu aprīkojums
BE_11_03_07_00	Ailu aprīkojums
BE_11_05_00_00	Telpu aprīkojums
BE_11_05_01_00	Sanmezgla aprīkojums
BE_11_05_03_00	Virtuves aprīkojums
BE_11_05_05_00	Biroja telpu aprīkojums
BE_11_05_07_00	Dzīvojamās telpas aprīkojums
BE_11_05_09_00	Tehnisko telpu aprīkojums
BE_11_05_11_00	Komerctelpu aprīkojums
BE_11_05_13_00	Citu telpu aprīkojums
BE_11_07_00_00	Mēbeles
BE_11_07_01_00	Sanmezgla mēbeles
BE_11_07_03_00	Virtuves mēbeles
BE_11_07_05_00	Biroja mēbeles
BE_11_07_07_00	Dzīvojamo telpu mēbeles
BE_11_07_09_00	Tehnisko telpu mēbeles
BE_11_07_11_00	Komerctelpu mēbeles
BE_11_07_13_00	Citu telpu mēbeles
BE_11_09_00_00	Tehnika
BE_11_09_01_00	Sanmezgla tehnika
BE_11_09_03_00	Virtuves tehnika
BE_11_09_05_00	Biroja tehnika
BE_11_09_07_00	Dzīvojamo telpu tehnika
BE_11_09_09_00	Tehnisko telpu tehnika
BE_11_09_11_00	Komerctelpu tehnika
BE_11_09_13_00	Citu telpu tehnika
BE_13_00_00_00	Labiekārtojums un apzaļumošana (TS-L)
BE_13_01_00_00	Segumi
BE_13_01_01_00	Oļu segumi
BE_13_01_03_00	Mulčas segumi
BE_13_01_05_00	Auglīgās augsnes segumi
BE_13_01_07_00	Zālājs
BE_13_01_09_00	Segumu pamatnes
BE_13_01_11_00	Segumi virs grunts
BE_13_01_13_00	Segumi virs pārsegumiem
BE_13_03_00_00	Seguma papildelementi
BE_13_03_01_00	Apmales
BE_13_03_03_00	Segumu salaidumi
BE_13_03_05_00	Ūdens novadīšanas elementi
BE_13_03_07_00	Citi seguma papildelementi
BE_13_05_00_00	Aprīkojums
BE_13_05_01_00	Atkritumu urnas
BE_13_05_03_00	Velosipēdu statīvi
BE_13_05_05_00	Soli
BE_13_05_07_00	Stendi
BE_13_05_09_00	Masti
BE_13_05_11_00	Sporta laukumi
BE_13_05_13_00	Bērnu rotaļu laukums
BE_13_05_15_00	Cits aprīkojums
BE_13_07_00_00	Nožogojums
BE_13_07_01_00	Žogs
BE_13_07_03_00	Vārti
BE_13_07_05_00	Automātiski paceļamā barjera
BE_13_07_07_00	Atbalstsienas
BE_13_09_00_00	Āra kāpnes un pandusi
BE_13_09_01_00	Kāpnes
BE_13_09_03_00	Pandusi
BE_13_11_00_00	Apstādījumi
BE_13_11_01_00	Koki
